Area,Actividad,Grupo Poblacional,Establecimiento,Tipo Documento,Sexo,Edad,Etnia,Nivel Estudio
Puntos Vive Digital,Primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,11,NA,Primaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,46,NA,secundaria
Puntos Vive Digital,Secundaria,General,Centro Administrativo La Bella,Cédula Ciudadanía,Masculino,23,NA,Secundaria
Puntos Vive Digital,Secundaria,General,Centro de Desarrollo Vecinal Villa Consota,Tarjeta de Identidad,Masculino,17,Afrocolombiano,Secundaria
Puntos Vive Digital,Secundaria,General,Centro de Desarrollo Vecinal Villa Consota,Tarjeta de Identidad,Masculino,14,Afrocolombiano,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,62,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,63,NA,Secundaria
Puntos Vive Digital,tecnico,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,55,NA,tecnico
Puntos Vive Digital,tecnico,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,57,NA,tecnico
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,60,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,33,NA,Secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,18,NA,secundaria
Puntos Vive Digital,Tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Tarjeta de Identidad,Masculino,16,mestizo,Tecnico
Puntos Vive Digital,Tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,59,NA,Tecnico
Puntos Vive Digital,Tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,56,NA,Tecnico
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,35,NA,secundaria
Puntos Vive Digital,tecnico,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,41,NA,tecnico
Puntos Vive Digital,tecnico,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,42,NA,tecnico
Puntos Vive Digital,tecnico,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,55,NA,tecnico
Puntos Vive Digital,tecnico,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,49,NA,tecnico
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,46,NA,secundaria
Puntos Vive Digital,universitario,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,60,NA,universitario
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Tarjeta de Identidad,Femenino,17,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Tarjeta de Identidad,Femenino,17,NA,secundaria
Puntos Vive Digital,NA,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,18,NA,NA
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,38,NA,secundaria
Puntos Vive Digital,primaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,46,NA,primaria
Puntos Vive Digital,tecnico,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,53,NA,tecnico
Puntos Vive Digital,Primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,11,NA,Primaria
Puntos Vive Digital,primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Femenino,10,NA,primaria
Puntos Vive Digital,primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Femenino,11,NA,primaria
Puntos Vive Digital,Secundaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,17,NA,Secundaria
Puntos Vive Digital,Secundaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,15,NA,Secundaria
Puntos Vive Digital,Primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,12,NA,Primaria
Puntos Vive Digital,Primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,10,NA,Primaria
Puntos Vive Digital,primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Femenino,12,NA,primaria
Puntos Vive Digital,primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Femenino,11,NA,primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,7,Afrocolombiano,Primaria
Puntos Vive Digital,Primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,11,NA,Primaria
Puntos Vive Digital,Secundaria,General,El remanso,Tarjeta de Identidad,Masculino,11,mestizo,Secundaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,7,mestizo,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,14,mestizo,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,14,Afrocolombiano,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,mestizo,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,10,mestizo,Primaria
Puntos Vive Digital,primaria,General,El remanso,Tarjeta de Identidad,Femenino,8,Afrocolombiano,primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,NA,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,Afrocolombiano,Primaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,12,Afrocolombiano,Secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,52,NA,secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,49,mestizo,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,42,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,62,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,78,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,60,NA,Secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,65,NA,secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,60,NA,Secundaria
Puntos Vive Digital,primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,71,NA,primaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,38,NA,Secundaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,9,mestizo,Primaria
Puntos Vive Digital,universitario,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,57,NA,universitario
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,42,NA,Secundaria
Puntos Vive Digital,Secundaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,17,NA,Secundaria
Puntos Vive Digital,Secundaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Masculino,14,NA,Secundaria
Puntos Vive Digital,primaria,General,Centro Administrativo La Bella,Tarjeta de Identidad,Femenino,9,NA,primaria
Puntos Vive Digital,Secundaria,General,El remanso,Cédula Ciudadanía,Masculino,22,Afrocolombiano,Secundaria
Puntos Vive Digital,NA,General,El remanso,Cédula Ciudadanía,Masculino,26,mestizo,NA
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,Afrocolombiano,Primaria
Puntos Vive Digital,Primaria,General,Centro de Desarrollo Vecinal Villa Consota,Registro Civil,Masculino,7,mestizo,Primaria
Puntos Vive Digital,Secundaria,General,Centro de Desarrollo Vecinal Villa Consota,Tarjeta de Identidad,Masculino,17,Afrocolombiano,Secundaria
Puntos Vive Digital,Secundaria,General,Centro de Desarrollo Vecinal Villa Consota,Tarjeta de Identidad,Masculino,14,Afrocolombiano,Secundaria
Puntos Vive Digital,postgrado,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,74,NA,postgrado
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,61,NA,Secundaria
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Femenino,17,NA,secundaria
Puntos Vive Digital,postgrado,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,74,NA,postgrado
Puntos Vive Digital,universitario,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,70,NA,universitario
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,72,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,57,NA,secundaria
Puntos Vive Digital,primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,61,NA,primaria
Puntos Vive Digital,universitario,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,78,NA,universitario
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,54,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,62,NA,secundaria
Puntos Vive Digital,postgrado,General,CENTRO CULUTRAL LUCY TEJADA,Otro,Masculino,70,NA,postgrado
Puntos Vive Digital,postgrado,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,62,NA,postgrado
Puntos Vive Digital,universitario,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,69,NA,universitario
Puntos Vive Digital,primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,56,NA,primaria
Puntos Vive Digital,Tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,59,NA,Tecnico
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,33,NA,Secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,73,NA,secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,17,NA,Secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Masculino,19,NA,Secundaria
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Femenino,16,NA,secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Masculino,18,NA,Secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,15,NA,Secundaria
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Femenino,17,NA,secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Permiso por Protección Temporal,Masculino,18,NA,Secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Masculino,19,NA,Secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,17,NA,Secundaria
Puntos Vive Digital,universitario,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Masculino,44,NA,universitario
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,16,NA,Secundaria
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Cédula Ciudadanía,Femenino,18,NA,secundaria
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Femenino,17,NA,secundaria
Puntos Vive Digital,secundaria,General,SAN FERNANDO CUBA,Permiso por Protección Temporal,Femenino,17,NA,secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,17,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,63,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,43,NA,Secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,14,NA,Secundaria
Puntos Vive Digital,Secundaria,General,SAN FERNANDO CUBA,Tarjeta de Identidad,Masculino,12,Afrocolombiano,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,62,NA,Secundaria
Puntos Vive Digital,secundaria,General,El remanso,Tarjeta de Identidad,Femenino,13,mestizo,secundaria
Puntos Vive Digital,postgrado,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,-60,NA,postgrado
Puntos Vive Digital,tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,54,NA,tecnico
Puntos Vive Digital,tecnologico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,55,mestizo,tecnologico
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,NA,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,9,mestizo,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,10,mestizo,Primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,mestizo,Primaria
Puntos Vive Digital,primaria,General,Centro de Desarrollo Vecinal Villa Consota,Tarjeta de Identidad,Femenino,10,Afrocolombiano,primaria
Puntos Vive Digital,Primaria,General,Centro de Desarrollo Vecinal Villa Consota,Tarjeta de Identidad,Masculino,9,mestizo,Primaria
Puntos Vive Digital,universitario,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,76,NA,universitario
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,62,NA,secundaria
Puntos Vive Digital,primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,60,NA,primaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,14,Afrocolombiano,Primaria
Puntos Vive Digital,tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,63,NA,tecnico
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,14,mestizo,Primaria
Puntos Vive Digital,tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,52,NA,tecnico
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,10,mestizo,Primaria
Puntos Vive Digital,primaria,General,El remanso,Tarjeta de Identidad,Femenino,8,Afrocolombiano,primaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,62,NA,secundaria
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,Afrocolombiano,Primaria
Puntos Vive Digital,tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,32,NA,tecnico
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,75,NA,secundaria
Puntos Vive Digital,universitario,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,53,NA,universitario
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,76,NA,secundaria
Puntos Vive Digital,tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,57,NA,tecnico
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,74,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,73,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,62,NA,secundaria
Puntos Vive Digital,primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,62,NA,primaria
Puntos Vive Digital,Primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,78,NA,Primaria
Puntos Vive Digital,Primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,78,NA,Primaria
Puntos Vive Digital,tecnologico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,58,NA,tecnologico
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,61,NA,secundaria
Puntos Vive Digital,tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,65,mestizo,tecnico
Puntos Vive Digital,tecnico,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,61,NA,tecnico
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,31,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,27,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,64,mestizo,secundaria
Puntos Vive Digital,Primaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,67,mestizo,Primaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,69,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,58,NA,secundaria
Puntos Vive Digital,postgrado,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,-60,NA,postgrado
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,46,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,68,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,40,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,71,NA,secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,43,NA,Secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,53,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,53,NA,secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,43,NA,Secundaria
Puntos Vive Digital,Secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,43,NA,Secundaria
Puntos Vive Digital,universitario,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Masculino,75,NA,universitario
Puntos Vive Digital,Primaria,General,El remanso,Tarjeta de Identidad,Masculino,12,Afrocolombiano,Primaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,64,mestizo,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,71,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,71,NA,secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,71,NA,secundaria
Puntos Vive Digital,Secundaria,General,El remanso,Cédula Ciudadanía,Masculino,25,Afrocolombiano,Secundaria
Puntos Vive Digital,Secundaria,General,El remanso,Cédula Ciudadanía,Masculino,22,Afrocolombiano,Secundaria
Puntos Vive Digital,secundaria,General,CENTRO CULUTRAL LUCY TEJADA,Cédula Ciudadanía,Femenino,53,NA,secundaria
